SNo.,Origin id,Destination id,Mean time,Standard deviation Time,Geometric mean time,Standard geometric mean time
1,81,171,1485.09,410.54,1439.69,1.27
2,81,34,2123.0,321.5,2098.62,1.16
3,81,168,2858.27,888.09,2723.67,1.37
4,81,139,1542.03,457.01,1483.27,1.31
5,81,103,3355.79,854.72,3257.53,1.27
6,81,104,3402.57,553.47,3355.2,1.19
7,81,41,3115.04,716.88,3027.22,1.29
8,81,24,1850.2,421.53,1804.09,1.25
9,81,1,3757.3,682.92,3695.55,1.2
10,81,155,1156.91,461.46,1080.74,1.43
11,81,134,1745.33,547.22,1671.2,1.33
12,81,1,2870.84,457.28,2835.14,1.17
13,81,193,1513.36,448.08,1463.99,1.28
14,81,107,3366.58,733.07,3283.13,1.26
15,81,43,4498.45,859.59,4405.15,1.24
16,81,39,2192.5,506.91,2139.19,1.24
17,81,141,3005.3,651.92,2937.02,1.24
18,81,176,1852.83,527.03,1789.11,1.29
19,81,101,2492.65,584.64,2425.71,1.26
20,81,183,2274.8,307.56,2254.23,1.14
21,81,16,2330.4,564.82,2270.84,1.25
22,81,8,659.48,308.33,609.25,1.46
23,81,3,3024.56,485.78,2987.37,1.17
24,81,1,3287.45,593.66,3237.63,1.19
25,81,8,654.24,323.99,593.55,1.53
26,81,15,2247.37,566.7,2183.88,1.26
27,81,126,1613.03,426.89,1560.24,1.29
28,81,168,2446.66,582.81,2383.56,1.25
29,81,1,2796.08,501.81,2754.7,1.19
30,81,102,1518.32,470.84,1453.62,1.34
31,81,108,2884.07,556.68,2835.54,1.2
32,81,2,3475.69,597.64,3428.26,1.18
33,81,41,3307.42,618.31,3252.78,1.2
34,81,147,3550.31,737.42,3482.69,1.21
35,81,118,1704.95,530.65,1640.57,1.3
36,81,134,941.82,458.43,873.88,1.44
37,81,88,1015.46,408.79,950.17,1.43
38,81,179,2929.36,620.46,2867.83,1.23
39,81,194,1007.88,320.43,966.44,1.32
40,81,117,3377.0,899.89,3266.49,1.29
41,81,85,700.06,322.81,636.05,1.56
42,81,100,1959.44,656.69,1866.13,1.36
43,81,5,1947.61,580.24,1873.49,1.31
44,81,64,1645.42,571.5,1566.12,1.35
